s_vals,cl1,cl2,cl3
1,0.5,0.5591517857142857,0.5503472222222222
2,0.4296875,0.5458333333333333,0.5412946428571429
4,0.4114583333333333,0.5390625,0.5334051724137931
8,0.37890625,0.5238970588235294,0.5291666666666667
16,0.390625,0.515625,0.5231854838709677
32,0.3828125,0.5106907894736842,0.51904296875
64,0.39732142857142855,0.509375,0.5108901515151515
128,0.4140625,0.5022321428571429,0.5050551470588235
256,0.4583333333333333,0.5092329545454546,0.5004464285714286
512,0.4953125,0.5244565217391305,0.4978298611111111
1024,0.5269886363636364,0.5377604166666666,0.49493243243243246
2048,0.53125,0.5425,0.4925986842105263
4096,0.5625,0.5570913461538461,0.49038461538461536
